REGION,TOTAL_CASE_REGION,TOTAL_CASES_ACTIVE,TOTAL_CASES_RECOVERED,TOTAL_CASES_DIED,PROVINCE,CITY,LAST_14_CASES_ACTIVE,LAST_14_CASES_RECOVERED,LAST_14_CASES_DIED,POSIVITY_RATE,ICU,ICU_OCCUPIED,ICU_OCCUPIED_RATE,ICU_VACANT,ICU_VACANT_RATE,NON_ICU,NON_ICU_OCCUPIED,NON_ICU_OCCUPIED_RATE,NON_ICU_VACANT,NON_ICU_VACANT_RATE,MECHANICAL_VENTILATORS,MECHANICAL_VENTILATOR_OCCUPIED,MECHANICAL_VENTILATOR_OCCUPIED_RATE,MECHANICAL_VENTILATOR_VACANT,MECHANICAL_VENTILATOR_VACANT_RATE,FACILITIES,BED_OCCUPANCY_RATE,BED_OCCUPANY_TOTAL,BED_OCCUPIED,BED_VACANT,OCCUPANCY_SAFE,OCCUPANY_MODERATE,OCCUPANY_HIGH,OCCUPANCY_CRITICAL,CLUSTER
IV-B,7088,31,6907,150,PALAWAN,CULION,7,8,1,0.142,15,3,0.2,12,0.8,35,5,0.1429,30,0.8571,8,0,0.0,8,1.0,1,0.16,50,8,42,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,CUYO,7,8,1,0.142,2,0,0.0,2,1.0,5,0,0.0,5,1.0,3,0,0.0,3,1.0,1,0.0,7,0,7,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,DUMARAN,7,8,1,0.142,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0,0,0,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,EL_NIDO,7,8,1,0.142,0,0,0.0,0,0.0,9,0,0.0,9,1.0,0,0,0.0,0,0.0,1,0.0,9,0,9,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,NARRA,7,8,1,0.142,0,0,0.0,0,0.0,10,0,0.0,10,1.0,0,0,0.0,0,0.0,1,0.0,10,0,10,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,QUEZON_IV_B,7,8,1,0.142,0,0,0.0,0,0.0,10,1,0.1,9,0.9,0,0,0.0,0,0.0,1,0.1,10,1,9,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,RIZAL_IV_B,7,8,1,0.142,0,0,0.0,0,0.0,4,1,0.25,3,0.75,0,0,0.0,0,0.0,1,0.25,4,1,3,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,ROXAS_IV_B,7,8,1,0.142,0,0,0.0,0,0.0,28,0,0.0,0,0.0,1,0,0.0,1,1.0,2,0.0,28,0,28,2,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,SAN_VICENTE,7,8,1,0.142,0,0,0.0,0,0.0,4,0,0.0,4,1.0,2,0,0.0,2,1.0,1,0.0,4,0,4,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,TAYTAY,7,8,1,0.142,0,0,0.0,0,0.0,8,0,0.0,8,1.0,1,0,0.0,1,1.0,1,0.0,8,0,8,1,0,0,0,2.0
IV-B,5669,45,5421,203,PUERTO_PRINCESA,PUERTO_PRINCESA,20,10,0,0.142,8,0,0.0,8,1.0,81,2,0.0247,79,0.9753,14,0,0.0,14,1.0,4,0.022000000000000002,89,2,87,4,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,CAJDIOCAN,1,3,0,0.142,0,0,0.0,0,0.0,1,0,0.0,1,1.0,0,0,0.0,0,0.0,1,0.0,1,0,1,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,CORCUERA,1,3,0,0.142,0,0,0.0,0,0.0,3,0,0.0,3,1.0,0,0,0.0,0,0.0,1,0.0,3,0,3,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,LOOC,1,3,0,0.142,0,0,0.0,0,0.0,11,0,0.0,11,1.0,0,0,0.0,0,0.0,1,0.0,11,0,11,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,ODIONGAN,1,3,0,0.142,0,0,0.0,0,0.0,35,0,0.0,35,1.0,0,0,0.0,0,0.0,4,0.0,35,0,35,4,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,ROMBLON,1,3,0,0.142,0,0,0.0,0,0.0,14,0,0.0,14,1.0,1,0,0.0,1,1.0,1,0.0,14,0,14,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,SAN_AGUSTIN,1,3,0,0.142,0,0,0.0,0,0.0,10,0,0.0,10,1.0,0,0,0.0,0,0.0,1,0.0,10,0,10,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,SAN_ANDRES,1,3,0,0.142,0,0,0.0,0,0.0,5,0,0.0,5,1.0,0,0,0.0,0,0.0,1,0.0,5,0,5,1,0,0,0,2.0
IV-B,5625,12,5522,91,ROMBLON,SAN_JOSE,1,3,0,0.142,0,0,0.0,0,0.0,3,0,0.0,3,1.0,0,0,0.0,0,0.0,1,0.0,3,0,3,1,0,0,0,2.0
